helper: 0.0.0.0 2718  [2020-09-23, 02:02:15]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:38]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:38]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:39]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:39]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:40]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:40]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:51]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:51]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:52]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:52]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:53]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:53]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:54]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:55]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:55]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:56]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-25, 10:36:56]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:39:06]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:39:45]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:39:45]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:40:04]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:40:08]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:40:19]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:40:31]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:40:32]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:40:41]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:40:43]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:42:18]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:42:24]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:42:24]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:02]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:05]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:10]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:10]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:15]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:15]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:20]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:20]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:23]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:24]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:31]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:32]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:45:39]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:45:40]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:46:06]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:07]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:46:07]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:08]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:46:10]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:10]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:46:12]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:13]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:46:14]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:15]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:46:17]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:17]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:46:19]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:46:20]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:16]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:16]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:23]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:24]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:49:26]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:26]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:49:27]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:28]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:35]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:36]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:42]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:43]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:49:47]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:48]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:50]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:50]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:49:53]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:53]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:49:56]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:49:57]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:50:00]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:50:01]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:50:05]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:50:06]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:50:09]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:50:10]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:50:13]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:50:14]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 10:57:49]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:57:50]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:57:59]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:57:59]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:58:41]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:58:41]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 10:58:56]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 10:58:56]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 11:01:00]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:01:00]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:03:39]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:08:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:08:16]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:08:16]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:10:24]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:10:25]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 11:11:06]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:11:06]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:14:01]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:14:01]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 11:18:00]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:18:01]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:18:02]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:18:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:18:13]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:18:13]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-25, 11:55:45]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-25, 11:55:45]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-25, 12:23:34]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:23:37]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:23:55]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:23:55]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:23:56]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:23:56]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:24:13]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:24:14]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:24:26]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:24:26]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:24:44]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:24:44]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:24:50]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:24:51]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:25:36]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:25:37]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:27:07]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:27:07]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:27:15]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:27:15]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:27:32]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:27:32]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:27:57]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:27:58]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:28:34]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:28:34]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:28:42]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:28:42]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:28:43]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:28:43]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:29:14]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:29:14]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:29:46]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:29:46]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:30:37]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:30:38]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport close]  [2020-09-25, 12:31:16]
connect: 127.0.0.1 ([ 'gband_panel_JS9' ])  [2020-09-25, 12:31:16]
exec: js9helper [[ '-i', 'screenshot_532.png' ]]  [2020-09-25, 12:31:28]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9' ]) [transport error]  [2020-09-25, 12:33:51]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ])  [2020-09-25, 12:33:52]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ]) [transport error]  [2020-09-25, 12:36:55]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ])  [2020-09-25, 12:36:56]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ]) [transport error]  [2020-09-25, 12:37:16]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ])  [2020-09-25, 12:37:16]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ]) [transport error]  [2020-09-25, 12:37:33]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ])  [2020-09-25, 12:37:33]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ]) [transport error]  [2020-09-25, 12:37:44]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ])  [2020-09-25, 12:37:45]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9' ]) [transport error]  [2020-09-25, 12:40:34]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:40:34]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:46:22]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:46:23]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:46:32]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:46:32]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:46:45]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:46:46]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:46:53]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:46:53]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:47:51]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:47:52]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:50:29]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:50:29]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:50:47]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:50:51]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:52:05]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:52:06]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:53:38]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:53:39]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:55:34]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:55:34]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:55:35]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:55:36]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:55:46]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:55:46]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:55:49]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:55:49]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:56:31]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:56:31]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:56:45]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:56:46]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:57:02]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:57:03]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:57:22]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:57:22]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:57:24]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:57:24]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:57:25]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:57:25]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:58:08]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:58:09]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 12:59:43]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:59:43]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 12:59:49]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 12:59:50]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:01:24]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:01:25]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:01:28]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:01:28]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:02:32]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:02:33]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:03:32]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:03:33]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:03:59]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:03:59]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:04:29]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:04:29]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:04:31]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:04:32]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:04:56]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:04:57]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:05:29]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:05:29]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:05:58]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:05:58]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:06:00]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:06:01]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:06:02]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:06:03]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:06:45]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:06:55]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:07:57]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:07:58]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport close]  [2020-09-25, 13:08:31]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:08:31]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:08:32]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:08:33]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:08:46]
connect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ])  [2020-09-25, 13:08:47]
disconnect: 127.0.0.1 ([ 'gband_panel_JS9', 'ugi_panel_JS9', 'smoothed_panel_JS9' ]) [transport error]  [2020-09-25, 13:08:56]
